"standort","quartierverein","besitzer","lat","lng","bild_kasten","link_google-streetview"
"NaenikonBahnhof","Naenikon","stadt",47.36995186,8.685233448,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/NaenikonBahnhof.JPG","https://goo.gl/maps/8FoQrvXfNWwgp8hw7"
"NaenikonTuermli","Naenikon","stadt",47.37046085,8.692937473,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/NaenikonTuermli.JPG","https://goo.gl/maps/eB1uy1LGuwrnbqfH8"
"Loren-Allee","Winikon-Gschwader","stadt",47.35820863,8.709598574,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Loren-Allee.JPG","https://goo.gl/maps/s3PTvTyJqwJEcStv6"
"Gschwader","Winikon-Gschwader","stadt",47.36009803,8.714701356,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Gschwader.JPG","https://goo.gl/maps/g1z6M5THwJ3MNwhh6"
"Wermatswil","Wermatswil","stadt",47.36159748,8.745929669,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Wermatswil.JPG","https://goo.gl/maps/YzTpBZTAgj2DVuzz7"
"Freudwil","Freudwil","stadt",47.37462974,8.732919423,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Freudwil.JPG","https://goo.gl/maps/gcDr1DjHD51oSJyz9"
"Oberuster","Oberuster","stadt",47.34545372,8.730293969,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Oberuster.JPG","keinGoogleStreetview"
"Niederuster","Niederuster","stadt",47.34418147,8.699882672,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Niederuster.JPG","https://goo.gl/maps/Gj8aCMg8D8MXLkrx8"
"Sulzbach","Sulzbach","stadt",47.32741535,8.745835125,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Sulzbach.JPG","https://goo.gl/maps/sN2sTmuuFqn7tVqz9"
"Riedikon","Riedikon","stadt",47.3322765,8.711559314,"https://raw.githubusercontent.com/GesellschaftStadtUster/quartier_infokaesten/main/fotos/Riedikon.JPG","https://goo.gl/maps/oeXGt3PSRAnTCGz47"
"Werrikon","Werrikon","quartierverein",47.362263665116316,8.700458639842875,"kein-Bild-vorhanden","https://goo.gl/maps/z3meZbhyYZG2JbFY7"
